text,service_type,sentiment
The Billing speed is amazing.,Billing & Payments,Positive
Very satisfied with the Customer Support performance.,Customer Support,Positive
Customer experience with 5G Service is great.,Service Activation,Positive
Great experience with the Fiber Broadband.,Broadband Service,Positive
Really impressed with the Customer Support.,Customer Support,Positive
The 5G Service works perfectly in my area.,Service Activation,Positive
Really impressed with the Customer Support.,Customer Support,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
The Billing has improved a lot.,Billing & Payments,Positive
The Billing speed is amazing.,Billing & Payments,Positive
I am very happy with the 5G Service.,Service Activation,Positive
Really impressed with the Customer Support.,Customer Support,Positive
Great experience with the Fiber Broadband.,Broadband Service,Positive
Very satisfied with the Mobile Network performance.,Mobile Network,Positive
The Mobile Network has improved a lot.,Mobile Network,Positive
The Fiber Broadband works perfectly in my area.,Broadband Service,Positive
The Customer Support has improved a lot.,Customer Support,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
The 5G Service speed is amazing.,Service Activation,Positive
Great experience with the 5G Service.,Service Activation,Positive
Customer experience with Mobile Network is great.,Mobile Network,Positive
Really impressed with the Mobile Network.,Mobile Network,Positive
The Mobile Network works perfectly in my area.,Mobile Network,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
The Customer Support has improved a lot.,Customer Support,Positive
I am very happy with the Billing.,Billing & Payments,Positive
The Billing coverage is fantastic.,Billing & Payments,Positive
The Customer Support works perfectly in my area.,Customer Support,Positive
Very satisfied with the Customer Support performance.,Customer Support,Positive
Great experience with the Customer Support.,Customer Support,Positive
The Billing speed is amazing.,Billing & Payments,Positive
Great experience with the 5G Service.,Service Activation,Positive
The Mobile Network coverage is fantastic.,Mobile Network,Positive
Really impressed with the Customer Support.,Customer Support,Positive
Really impressed with the Fiber Broadband.,Broadband Service,Positive
Really impressed with the Mobile Network.,Mobile Network,Positive
The Mobile Network quality is excellent.,Mobile Network,Positive
Very satisfied with the 5G Service performance.,Service Activation,Positive
The Mobile Network coverage is fantastic.,Mobile Network,Positive
Really impressed with the Fiber Broadband.,Broadband Service,Positive
Really impressed with the 5G Service.,Service Activation,Positive
Customer experience with Billing is great.,Billing & Payments,Positive
I am very happy with the Billing.,Billing & Payments,Positive
I am very happy with the 5G Service.,Service Activation,Positive
The 5G Service quality is excellent.,Service Activation,Positive
The 5G Service has improved a lot.,Service Activation,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
The Mobile Network has improved a lot.,Mobile Network,Positive
The Customer Support coverage is fantastic.,Customer Support,Positive
Very satisfied with the Customer Support performance.,Customer Support,Positive
The 5G Service has improved a lot.,Service Activation,Positive
The Mobile Network coverage is fantastic.,Mobile Network,Positive
Great experience with the Mobile Network.,Mobile Network,Positive
Very satisfied with the Customer Support performance.,Customer Support,Positive
Very satisfied with the Fiber Broadband performance.,Broadband Service,Positive
Great experience with the 5G Service.,Service Activation,Positive
Really impressed with the 5G Service.,Service Activation,Positive
Very satisfied with the Customer Support performance.,Customer Support,Positive
Great experience with the Customer Support.,Customer Support,Positive
The Fiber Broadband quality is excellent.,Broadband Service,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
The 5G Service speed is amazing.,Service Activation,Positive
The Billing coverage is fantastic.,Billing & Payments,Positive
The Mobile Network quality is excellent.,Mobile Network,Positive
Really impressed with the Mobile Network.,Mobile Network,Positive
Great experience with the Customer Support.,Customer Support,Positive
I am very happy with the Fiber Broadband.,Broadband Service,Positive
Great experience with the Billing.,Billing & Payments,Positive
The 5G Service speed is amazing.,Service Activation,Positive
The Customer Support has improved a lot.,Customer Support,Positive
Great experience with the Customer Support.,Customer Support,Positive
Customer experience with Mobile Network is great.,Mobile Network,Positive
Great experience with the 5G Service.,Service Activation,Positive
Really impressed with the Mobile Network.,Mobile Network,Positive
The Customer Support has improved a lot.,Customer Support,Positive
Really impressed with the Fiber Broadband.,Broadband Service,Positive
Very satisfied with the 5G Service performance.,Service Activation,Positive
Really impressed with the Fiber Broadband.,Broadband Service,Positive
The Fiber Broadband speed is amazing.,Broadband Service,Positive
Really impressed with the Fiber Broadband.,Broadband Service,Positive
Customer experience with Customer Support is great.,Customer Support,Positive
The Billing quality is excellent.,Billing & Payments,Positive
The Customer Support has improved a lot.,Customer Support,Positive
